day,ell_30,ell_50,ell_75
0,0.9671,0.9671,0.9671
1,0.9667,0.9667,0.9667
2,0.9609,0.9609,0.9609
3,0.9605,0.9605,0.9605
4,0.9601,0.9601,0.9601
5,0.9596,0.9596,0.9596
6,0.9535,0.9535,0.9535
7,0.9530,0.9530,0.9530
8,0.9525,0.9525,0.9525
9,0.9520,0.9520,0.9520
10,0.9455,0.9455,0.9455
11,0.9450,0.9450,0.9450
12,0.9383,0.9383,0.9383
13,0.9376,0.9376,0.9376
14,0.9307,0.9307,0.9307
15,0.9300,0.9300,0.9300
16,0.9229,0.9229,0.9229
17,0.9156,0.9156,0.9156
18,0.9082,0.9082,0.9082
19,0.9007,0.9007,0.9007
20,0.8930,0.8930,0.8930
21,0.8784,0.8784,0.8784
22,0.8635,0.8635,0.8635
23,0.8483,0.8483,0.8483
24,0.8189,0.8189,0.8189
25,0.7889,0.7889,0.7889
26,0.7298,0.7298,0.7514
27,0.6409,0.6409,0.7514
28,0.5595,0.5595,0.7513
29,0.5448,0.5448,0.7500
30,0.5446,0.5446,0.7500
31,0.5445,0.5445,0.7500
32,0.5382,0.5382,0.7500
33,0.5380,0.5380,0.7500
34,0.5379,0.5379,0.7500
35,0.5377,0.5377,0.7500
36,0.5375,0.5375,0.7500
37,0.5373,0.5373,0.7500
38,0.5371,0.5371,0.7500
39,0.5305,0.5305,0.7500
40,0.5303,0.5303,0.7500
41,0.5301,0.5301,0.7500
42,0.5298,0.5298,0.7500
43,0.5230,0.5230,0.7500
44,0.5227,0.5227,0.7500
45,0.5224,0.5224,0.7500
46,0.5153,0.5153,0.7500
47,0.5150,0.5150,0.7500
48,0.5079,0.5079,0.7500
49,0.5075,0.5075,0.7500
50,0.5002,0.5004,0.7500
51,0.4928,0.5004,0.7500
52,0.4853,0.5003,0.7500
53,0.4706,0.5003,0.7500
54,0.4557,0.5002,0.7500
55,0.4335,0.5002,0.7500
56,0.4038,0.5002,0.7500
57,0.3519,0.5001,0.7500
58,0.3000,0.5001,0.7500
59,0.3000,0.5000,0.7500
