day,ell
0,0.9671
1,0.9667
2,0.9609
3,0.9605
4,0.9601
5,0.9596
6,0.9535
7,0.9530
8,0.9525
9,0.9520
10,0.9455
11,0.9450
12,0.9383
13,0.9376
14,0.9307
15,0.9300
16,0.9229
17,0.9156
18,0.9082
19,0.9007
20,0.8930
21,0.8784
22,0.8635
23,0.8483
24,0.8189
25,0.7889
26,0.7514
27,0.7514
28,0.7513
29,0.7500
30,0.7500
31,0.7500
32,0.7500
33,0.7500
34,0.7500
35,0.7500
36,0.7500
37,0.7500
38,0.7500
39,0.7500
40,0.7500
41,0.7500
42,0.7500
43,0.7500
44,0.7500
45,0.7500
46,0.7500
47,0.7500
48,0.7500
49,0.7500
50,0.7500
51,0.7500
52,0.7500
53,0.7500
54,0.7500
55,0.7500
56,0.7500
57,0.7500
58,0.7500
59,0.7500
